frame,left_elbow_angle,right_elbow_angle,left_wrist_height,right_wrist_height,wrist_height_diff,weak_arm_flag
frame_0000.jpg,174.7346276682234,174.86666354975128,931,888,43,1
frame_0001.jpg,174.3467773016951,175.57958346471597,924,886,38,1
frame_0002.jpg,173.5075263323233,171.12824612653858,883,880,3,0
frame_0003.jpg,172.15443128529418,172.85456929834618,924,865,59,1
frame_0004.jpg,172.31191238534288,171.36754191337647,906,869,37,1
frame_0005.jpg,175.03349744967707,173.3035103446922,879,880,1,0
frame_0006.jpg,171.9436116989109,172.17523707999865,846,861,15,0
frame_0007.jpg,172.04691802090375,171.6874066688834,852,865,13,0
frame_0008.jpg,172.18040883241764,174.29532378262775,859,867,8,0
frame_0009.jpg,175.98881158642752,174.74085174855475,845,849,4,0
frame_0010.jpg,176.76044717461463,171.36775681755702,723,745,22,1
frame_0011.jpg,34.65306601042262,172.7370325280396,355,528,173,1
frame_0012.jpg,151.81227287763758,98.34812868421321,259,285,26,1
frame_0013.jpg,155.45429355709206,145.3846019588707,164,161,3,0
frame_0014.jpg,134.15965624334092,118.63952926439536,178,195,17,1
frame_0015.jpg,155.68952377847836,155.00056704608195,164,183,19,0
frame_0016.jpg,155.17357121487228,152.30932342200884,168,185,17,0
frame_0017.jpg,145.6477987387403,148.72019429479664,171,192,21,1
frame_0018.jpg,141.49352530649014,155.4279294115321,172,174,2,0
frame_0019.jpg,141.54629077786328,150.479569275756,166,186,20,0
frame_0020.jpg,142.6733070759494,142.5664234754482,169,187,18,0
frame_0021.jpg,158.69792775763455,97.26230867498411,261,272,11,1
frame_0022.jpg,45.95293574069787,148.30640039264082,565,620,55,1
frame_0023.jpg,174.92382454970544,174.97920650533374,791,719,72,1
frame_0024.jpg,171.81286581507555,172.61297016683264,845,826,19,0
frame_0025.jpg,172.6267477665518,171.88034925739225,831,835,4,0
frame_0026.jpg,173.06183137884577,171.27960593278087,836,835,1,0
frame_0027.jpg,173.57507543104083,170.10931673351874,836,834,2,0
frame_0028.jpg,174.3127865852484,171.39098477100603,830,836,6,0
frame_0029.jpg,173.58904224334063,172.0105543289929,835,846,11,0
frame_0030.jpg,172.36120824171397,173.00320786566814,826,844,18,0
frame_0031.jpg,171.4448527068916,171.6318181079268,835,848,13,0
frame_0032.jpg,172.32836459616288,170.80319161042243,840,838,2,0
frame_0033.jpg,169.90945414084078,169.6080965222387,850,834,16,0
frame_0034.jpg,170.32165307813906,173.05313555243046,842,842,0,0
frame_0035.jpg,169.2866886572026,173.458008923246,829,837,8,0
frame_0036.jpg,172.7249950334044,170.5186527427819,846,833,13,0
frame_0037.jpg,172.78281369064533,168.94983653390375,851,844,7,0
frame_0038.jpg,173.69490030076648,172.5003901711169,825,818,7,0
frame_0039.jpg,176.06640348035478,175.10090752434,752,723,29,1
frame_0040.jpg,171.0691983222228,171.5531539230507,687,581,106,1
frame_0041.jpg,172.24550030786668,70.16993159637008,712,393,319,1
frame_0042.jpg,177.61114475858912,124.50314366994415,722,235,487,1
frame_0043.jpg,172.37726830523724,94.82884576840948,727,178,549,1
frame_0044.jpg,175.46096874595452,141.8073269071804,744,159,585,1
frame_0045.jpg,175.18941378368356,147.6991182419079,745,161,584,1
frame_0046.jpg,173.3876838617086,135.48686819856866,755,170,585,1
frame_0047.jpg,176.45825635724654,140.40137939930852,757,177,580,1
frame_0048.jpg,176.82710538865908,101.1357335699579,748,179,569,1
frame_0049.jpg,177.5958952849245,140.8495194533203,739,210,529,1
frame_0050.jpg,176.1393364934095,18.744206966879855,738,347,391,1
frame_0051.jpg,171.13368539557575,177.92450387599996,752,602,150,1
frame_0052.jpg,177.56653952568513,169.70639948574564,768,740,28,1
frame_0053.jpg,176.7729679571858,172.39696081629134,754,820,66,1
frame_0054.jpg,175.52951595712184,172.53820642562366,796,837,41,1
frame_0055.jpg,172.54680314227662,171.16806308163518,846,830,16,0
frame_0056.jpg,174.13982089867747,169.53207563151807,850,826,24,1
frame_0057.jpg,170.91211059908795,169.45771587835318,850,837,13,0
frame_0058.jpg,171.1676663871892,171.4797782625613,840,837,3,0
frame_0059.jpg,172.3648872449516,172.12028552297028,862,859,3,0
frame_0060.jpg,171.9306091268092,169.37312795253027,901,923,22,1
frame_0061.jpg,179.64588800711695,162.70462406862552,926,916,10,0
frame_0062.jpg,178.21034303737164,172.7368892437375,933,849,84,1
